epoch,111,5,55,71,100,19,90,65,50,13,other
1,96.40%,49.70%,81.60%,50.90%,76.90%,25.80%,46.90%,47.10%,49.40%,52.00%,"removed [6, 4, 9], xgb"
2,97.80%,50.60%,78.00%,44.60%,72.00%,30.00%,52.40%,45.60%,50.70%,51.80%,"removed [16, 11, 18], xgb"
3,83.80%,49.30%,85.90%,44.90%,89.50%,25.80%,77.10%,46.00%,65.20%,76.50%,"removed [21, 28, 27], xgb"
4,98.60%,51.10%,60.00%,44.50%,89.10%,27.10%,73.50%,45.60%,47.20%,52.50%,"removed [8, 14, 7], xgb"
5,95.30%,52.10%,72.10%,47.50%,84.80%,25.80%,52.00%,45.60%,48.60%,65.10%,"removed [33, 17, 32], xgb"
6,86.00%,47.10%,78.80%,44.60%,81.20%,25.80%,63.70%,45.00%,40.90%,78.70%,"removed [36, 38, 37], xgb"
7,88.20%,56.90%,72.00%,43.50%,84.30%,27.10%,52.90%,45.60%,43.40%,68.00%,"removed [49, 40, 46], xgb"
8,96.30%,47.60%,76.60%,44.60%,79.50%,32.90%,53.60%,45.70%,46.20%,93.00%,"removed [54, 52, 56], xgb"
1,97.50%,51.10%,25.50%,41.80%,81.20%,59.60%,62.30%,46.50%,51.10%,53.70%,"removed [6, 4, 9], lgb"
2,99.20%,50.30%,85.40%,40.10%,76.40%,47.50%,67.30%,47.20%,52.10%,50.80%,"removed [16, 11, 18], lgb"
3,96.00%,50.90%,72.90%,45.40%,87.10%,30.20%,55.80%,46.00%,50.90%,53.80%,"removed [21, 28, 27], lgb"
4,95.10%,52.80%,61.10%,44.90%,79.80%,40.90%,69.70%,45.70%,52.00%,54.00%,"removed [14, 8, 7], lgb"
5,58.20%,50.30%,68.70%,51.90%,70.90%,26.30%,76.10%,51.80%,51.80%,56.00%,"removed [33, 17, 32], lgb"
6,95.80%,53.80%,93.90%,47.90%,77.90%,25.80%,71.10%,48.00%,52.50%,57.40%,"removed [36, 37, 38], lgb"
7,98.90%,49.80%,75.80%,44.70%,76.40%,25.80%,66.70%,47.60%,54.90%,52.40%,"removed [49, 40, 46], lgb"
8,27.80%,52.10%,69.20%,44.30%,79.10%,31.40%,76.00%,47.20%,52.60%,82.30%,"removed [54, 52, 56], lgb"
1,27.10%,51.00%,100.00%,44.70%,68.30%,25.80%,51.40%,45.60%,52.60%,51.80%,"removed [6, 9, 4], rf"
1,72.90%,49.40%,0.00%,55.30%,49.70%,74.20%,48.60%,54.40%,47.30%,48.20%,"removed [4, 9, 6], mlp"
2,72.90%,49.40%,0.00%,55.30%,49.70%,74.20%,48.60%,54.40%,47.30%,48.20%,"removed [16, 18, 11], mlp"
3,72.90%,49.40%,0.00%,55.30%,49.70%,74.20%,48.60%,54.40%,47.30%,48.20%,"removed [27, 28, 21], mlp"
4,27.10%,50.60%,100.00%,44.70%,50.30%,25.80%,51.40%,45.60%,52.70%,51.80%,"removed [14, 8, 7], mlp"
5,72.90%,49.40%,0.00%,55.30%,49.70%,74.20%,48.60%,54.40%,47.30%,48.20%,"removed [17, 32, 33], mlp"
6,27.10%,50.60%,100.00%,44.70%,50.30%,25.80%,51.40%,45.60%,52.70%,51.80%,"removed [37, 36, 38], mlp"
7,27.10%,50.60%,100.00%,44.70%,50.30%,25.80%,51.40%,45.60%,52.70%,51.80%,"removed [46, 40, 49], mlp"
8,27.10%,50.60%,100.00%,44.70%,49.70%,25.80%,51.40%,45.60%,52.70%,51.80%,"removed [52, 56, 54], mlp"
epoch,111,5,55,71,100,19,90,65,50,13,other
1,99.00%,52.20%,57.00%,57.10%,57.20%,25.80%,67.40%,45.60%,53.10%,51.80%,"removed [105, 6, 84], xgb"
2,96.00%,51.90%,78.20%,54.60%,50.20%,25.80%,74.70%,45.80%,52.70%,51.80%,"removed [16, 80, 18], xgb"
3,94.80%,55.50%,82.60%,44.70%,66.80%,25.80%,52.60%,47.80%,55.70%,51.80%,"removed [63, 27, 54], xgb"
4,97.00%,52.50%,73.60%,44.70%,67.60%,25.80%,57.50%,45.80%,52.60%,51.80%,"removed [94, 36, 33], xgb"
5,94.20%,52.50%,69.70%,44.60%,50.20%,25.90%,51.00%,46.70%,52.70%,51.80%,"removed [86, 75, 38], xgb"
6,96.80%,50.10%,99.20%,44.40%,50.20%,28.00%,51.40%,50.20%,60.30%,51.80%,"removed [9, 107, 49], xgb"
7,97.80%,51.70%,96.10%,52.10%,45.40%,25.90%,51.50%,46.70%,59.90%,51.80%,"removed [112, 17, 101], xgb"
8,93.10%,49.00%,72.80%,50.30%,49.70%,25.80%,48.80%,47.60%,52.60%,51.80%,"removed [60, 40, 95], xgb"
