epoch,2,38,108,78,other
0,84.1%,44.9%,31.6%,39.5%,³õÊ¼
1,69.2%,44.9%,31.7%,39.5%,"ÌÞ³ý[40, 70]"
2,63.8%,44.9%,31.7%,39.5%,"ÌÞ³ý[14, 52]"
3,52.2%,44.9%,31.8%,39.8%,"ÌÞ³ý[58, 32]"
0,84.1%,44.9%,31.6%,39.5%,³õÊ¼
0,84.1%,44.9%,31.6%,39.5%,³õÊ¼
1,69.2%,44.9%,31.7%,39.5%,"ÌÞ³ý[40, 70]"
2,63.8%,44.9%,31.7%,39.5%,"ÌÞ³ý[14, 52]"
3,52.2%,44.9%,31.8%,39.8%,"ÌÞ³ý[58, 32]"
0,68.4%,³õÊ¼
1,76.2%,"ÌÞ³ý[38, 40]"
2,77.9%,"ÌÞ³ý[108, 14]"
3,58.1%,"ÌÞ³ý[78, 52]"
0,84.1%,44.9%,31.6%,39.5%,³õÊ¼
1,69.2%,44.9%,31.7%,39.5%,"ÌÞ³ý[40, 70]"
2,63.8%,44.9%,31.7%,39.5%,"ÌÞ³ý[14, 52]"
3,52.2%,44.9%,31.8%,39.8%,"ÌÞ³ý[58, 32]"
