test_well_id,work,mse,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,other
[5],deal_density4,0.14359435920643918,1.67,0.3,1.51,1.9,0.0,1.9,0.22999999999999998, 
[6],deal_density4,0.005098096961048397,2.18,0.03,2.19,2.25,0.0,2.25,0.06999999999999984, 
[4],deal_density4,0.20202451901666726,1.64,0.01,1.64,1.19,0.0,1.19,0.44999999999999996, 
[9],deal_density4,0.144289030947791,2.04,0.02,2.04,2.42,0.0,2.42,0.3799999999999999, 
[11],deal_density4,0.003909176048020996,1.35,0.0,1.35,1.29,0.0,1.29,0.06000000000000005, 
[16],deal_density4,0.0033770133554068315,2.3,0.02,2.29,2.25,0.0,2.25,0.04999999999999982, 
[18],deal_density4,0.08187700171019756,1.46,0.0,1.46,1.75,0.0,1.75,0.29000000000000004, 
[19],deal_density4,0.01058424482963784,1.71,0.02,1.7,1.81,0.0,1.81,0.10000000000000009, 
[21],deal_density4,0.04475322888801311,1.94,0.01,1.94,2.15,0.0,2.15,0.20999999999999996, 
[28],deal_density4,0.10084473637249844,2.09,0.04,2.05,2.4,0.0,2.4,0.31000000000000005, 
[7],deal_density4,0.11569792819298674,2.12,0.33,2.26,2.05,0.0,2.05,0.07000000000000028, 
[8],deal_density4,0.009985980454947441,1.58,0.0,1.58,1.68,0.0,1.68,0.09999999999999987, 
[13],deal_density4,0.3612576417843257,1.37,0.02,1.36,1.97,0.0,1.97,0.5999999999999999, 
[14],deal_density4,0.22755455636666713,1.73,0.0,1.72,1.25,0.0,1.25,0.48, 
[17],deal_density4,0.19801375031048069,1.86,0.0,1.86,1.42,0.0,1.42,0.44000000000000017, 
[32],deal_density4,0.013268873327292317,1.52,0.0,1.52,1.4,0.0,1.4,0.1200000000000001, 
[33],deal_density4,0.01437293301552198,1.56,0.05,1.55,1.45,0.0,1.45,0.1100000000000001, 
[36],deal_density4,0.03595136064976738,1.82,0.0,1.82,1.63,0.0,1.63,0.19000000000000017, 
[37],deal_density4,0.13104558128454494,1.7,0.0,1.7,1.34,0.0,1.34,0.3599999999999999, 
[38],deal_density4,0.002080056135753439,1.61,0.02,1.6,1.65,0.0,1.65,0.039999999999999813, 
[40],deal_density4,0.012551797662221675,1.82,0.1,1.73,1.78,0.0,1.78,0.040000000000000036, 
[46],deal_density4,0.09715045534221213,1.68,0.0,1.68,1.37,0.0,1.37,0.30999999999999983, 
