test_well_id,work,mse,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,other
[5],deal_density4,0.11291527290923029,1.58,0.18,1.54,1.82,0.18,1.83,0.24, 
[6],deal_density4,0.22831110675015073,1.84,0.16,1.86,2.3,0.05,2.31,0.45999999999999974, 
[4],deal_density4,0.024632398035320743,1.25,0.04,1.24,1.1,0.05,1.12,0.1499999999999999, 
[9],deal_density4,0.22125231612508361,1.96,0.09,1.97,2.41,0.12,2.42,0.4500000000000002, 
[11],deal_density4,0.09563531181422295,0.98,0.06,0.99,1.28,0.02,1.27,0.30000000000000004, 
[16],deal_density4,2.6114628635152832,0.8,0.38,0.94,2.37,0.07,2.41,1.57, 
[18],deal_density4,0.2764400695269018,1.14,0.11,1.1,1.62,0.12,1.7,0.4800000000000002, 
[19],deal_density4,318.0807230246527,1.55,17.81,0.93,1.95,0.43,1.81,0.3999999999999999, 
[21],deal_density4,0.5069859764124204,2.02,0.1,2.02,1.32,0.02,1.32,0.7, 
[28],deal_density4,0.37042965016960483,1.56,0.08,1.54,1.83,0.56,1.99,0.27, 
[7],deal_density4,0.22995293998984936,1.63,0.06,1.62,1.96,0.36,2.08,0.33000000000000007, 
[8],deal_density4,0.07967686751037721,1.5,0.27,1.53,1.64,0.17,1.68,0.1399999999999999, 
[13],deal_density4,0.06666832797067472,1.49,0.13,1.51,1.72,0.01,1.72,0.22999999999999998, 
[14],deal_density4,0.04069040260901851,1.2,0.05,1.19,1.12,0.17,1.13,0.07999999999999985, 
[17],deal_density4,0.0629204291928489,1.21,0.03,1.22,1.29,0.24,1.31,0.08000000000000007, 
[32],deal_density4,0.02621731234230035,1.48,0.1,1.46,1.37,0.07,1.37,0.10999999999999988, 
[33],deal_density4,0.17026575264164936,1.78,0.11,1.82,1.39,0.06,1.4,0.3900000000000001, 
[36],deal_density4,4946.378560327241,-69.06,0.0,-69.06,1.27,0.0,1.27,70.33, 
[37],deal_density4,0.17620516622447463,1.37,0.02,1.37,1.06,0.27,1.15,0.31000000000000005, 
[38],deal_density4,0.19565384333321412,1.16,0.12,1.16,1.59,0.03,1.59,0.43000000000000016, 
[40],deal_density4,2.0145607006831456,1.44,0.24,1.57,0.59,1.3,1.6,0.85, 
[46],deal_density4,0.0012286528934361894,1.38,0.02,1.37,1.35,0.01,1.35,0.029999999999999805, 
[49],deal_density4,0.6476044567998959,1.59,0.22,1.55,2.28,0.42,2.37,0.6899999999999997, 
[50],deal_density4,0.28078799100580065,1.12,0.15,1.13,1.6,0.27,1.65,0.48, 
[52],deal_density4,0.16930298370893704,1.84,0.25,1.69,2.15,0.06,2.17,0.30999999999999983, 
[54],deal_density4,0.10742976702718553,1.45,0.21,1.52,1.2,0.02,1.2,0.25, 
[56],deal_density4,0.07664817468197656,1.34,0.1,1.31,1.55,0.17,1.57,0.20999999999999996, 
[57],deal_density4,0.5593580655255437,1.54,0.19,1.48,2.04,0.48,2.2,0.5, 
[58],deal_density4,0.26323594518417137,1.3,0.42,1.1,1.11,0.17,1.17,0.18999999999999995, 
[60],deal_density4,0.04415952948563265,1.15,0.13,1.14,1.14,0.17,1.18,0.010000000000000009, 
[61],deal_density4,0.011576696461485046,1.48,0.01,1.49,1.38,0.01,1.37,0.10000000000000009, 
[62],deal_density4,0.14488245157781562,1.68,0.07,1.67,1.31,0.02,1.3,0.3699999999999999, 
[65],deal_density4,0.910455708546133,0.74,0.11,0.75,1.69,0.11,1.7,0.95, 
[63],deal_density4,0.545289481229351,0.7,0.05,0.69,1.43,0.01,1.43,0.73, 
[2],deal_density4,6.7309041284063085,0.04,1.22,-0.95,2.32,0.01,2.33,2.28, 
[23],deal_density4,0.3386054374311638,1.51,0.12,1.51,1.68,0.58,1.89,0.16999999999999993, 
[70],deal_density4,0.09888187485334224,1.9,0.09,1.9,2.17,0.21,2.26,0.27, 
[71],deal_density4,3.1352482293937114,0.78,0.16,0.74,2.55,0.02,2.55,1.7699999999999998, 
[104],deal_density4,0.8869718782229918,1.3,0.39,1.5,2.13,0.3,2.37,0.8299999999999998, 
[74],deal_density4,0.017669676297314307,1.55,0.33,1.54,1.61,0.34,1.65,0.06000000000000005, 
[77],deal_density4,0.7296703823129723,1.42,0.08,1.37,2.27,0.01,2.27,0.8500000000000001, 
[78],deal_density4,0.1633026042670097,1.79,0.09,1.82,1.45,0.19,1.48,0.3400000000000001, 
[80],deal_density4,0.025742721683333022,1.29,0.05,1.31,1.15,0.04,1.16,0.14000000000000012, 
[84],deal_density4,0.5648253636333506,1.53,0.1,1.52,2.23,0.28,2.31,0.7, 
[85],deal_density4,0.05776666320839457,1.12,0.09,1.16,1.32,0.07,1.35,0.19999999999999996, 
[86],deal_density4,75133.26497418496,1.27,0.69,1.46,-2.75,274.05,1.35,4.02, 
[90],deal_density4,0.5668564777920804,1.58,0.33,1.45,2.2,0.32,2.25,0.6200000000000001, 
[95],deal_density4,0.051376834018824515,1.72,0.13,1.77,1.53,0.04,1.53,0.18999999999999995, 
[97],deal_density4,0.32831038835555854,1.63,0.17,1.57,1.14,0.24,1.2,0.49, 
[99],deal_density4,0.002630943528056241,1.39,0.03,1.39,1.42,0.03,1.41,0.030000000000000027, 
[100],deal_density4,9.675185102145228,2.11,0.03,2.1,-1.0,0.0,-1.0,3.11, 
[101],deal_density4,0.8312514275789585,1.76,0.08,1.75,1.45,0.87,2.0,0.31000000000000005, 
[105],deal_density4,0.1481539847185179,1.26,0.12,1.27,1.52,0.28,1.44,0.26, 
[107],deal_density4,0.07880555325800154,1.86,0.12,1.86,1.61,0.05,1.62,0.25, 
[108],deal_density4,0.00632229364504278,-1.02,0.08,-1.01,-1.0,0.0,-1.0,0.020000000000000018, 
[110],deal_density4,0.5778436192270826,1.89,0.17,1.96,1.62,0.79,1.94,0.2699999999999998, 
[112],deal_density4,0.8814270797848408,1.22,0.17,1.2,1.71,0.85,2.16,0.49, 
[75],deal_density4,0.20268408090810477,1.63,0.38,1.8,1.95,0.25,1.97,0.32000000000000006, 
[111],deal_density4,1.6250493509587907,0.96,0.09,1.01,2.23,0.03,2.24,1.27, 
[94],deal_density4,0.26453188293397084,1.28,0.11,1.3,0.98,0.41,1.08,0.30000000000000004, 
