test_well_id,work,mse,mean_pred,std_pred,median_pred,min_pred,max_pred,mean_true,std_true,median_true,min_true,max_true,mean_diff,other
[5],inlet_flow4,29.681744579880114,5.22,10.45,0.06,-0.4,31.14,7.25,15.02,0.0,0.0,43.3,2.0300000000000002, 
[6],inlet_flow4,7.2694768117488495,26.57,8.7,29.33,-0.82,36.86,24.73,8.06,24.99,0.0,35.75,1.8399999999999999, 
[4],inlet_flow4,46.91712408662728,6.12,10.28,-0.17,-0.48,27.69,2.68,4.54,0.0,0.0,15.62,3.44, 
[9],inlet_flow4,9.16830844989473,16.45,10.49,18.61,-0.66,29.75,16.15,9.49,21.43,0.0,36.28,0.3000000000000007, 
[11],inlet_flow4,3.9978056720041444,8.38,5.76,11.99,-0.01,13.66,9.98,6.9,14.32,0.0,15.95,1.5999999999999996, 
[16],inlet_flow4,1.2895201693610396,1.63,6.0,0.03,-0.11,29.78,1.87,6.95,0.0,0.0,32.75,0.2400000000000002, 
[18],inlet_flow4,69.00096134661268,5.23,6.82,0.02,-0.54,18.31,0.31,1.49,0.0,0.0,11.89,4.920000000000001, 
[19],inlet_flow4,180938.60353651032,151.44,397.59,0.57,-1.39,1216.66,1.6,3.78,0.0,0.0,14.57,149.84, 
[21],inlet_flow4,0.37735447505474257,1.14,2.88,0.28,-0.14,18.37,1.1,2.74,0.0,0.0,12.79,0.039999999999999813, 
[28],inlet_flow4,4.4327805328104635,13.59,5.87,15.9,-0.52,24.65,13.26,6.62,14.99,0.0,27.49,0.33000000000000007, 
[7],inlet_flow4,21.123040863969518,14.33,8.88,19.25,0.03,38.24,10.34,6.74,13.95,0.0,30.53,3.99, 
[8],inlet_flow4,0.45803798814686153,6.67,2.65,7.69,-0.06,8.5,7.29,2.89,8.44,0.0,8.74,0.6200000000000001, 
[13],inlet_flow4,605007.8861526564,9.77,12.32,0.09,-0.71,30.38,495.47,619.79,0.0,0.0,1403.1,485.70000000000005, 
[14],inlet_flow4,22905.685910696287,4.11,5.72,-0.43,-1.73,32.54,102.26,120.81,0.0,0.0,594.07,98.15, 
[17],inlet_flow4,11.680656983746571,5.43,8.34,-0.37,-0.53,36.89,7.29,10.34,0.0,0.0,29.72,1.8600000000000003, 
[32],inlet_flow4,26.385359191630325,11.85,8.13,13.3,-1.16,33.07,14.83,11.75,14.56,0.0,52.41,2.9800000000000004, 
[33],inlet_flow4,16.584828597510075,9.93,14.75,0.08,-0.56,44.85,11.16,17.37,0.0,0.0,59.56,1.2300000000000004, 
[36],inlet_flow4,171.5125242368178,7.29,11.29,0.27,-0.41,30.16,0.19,0.32,0.0,0.0,3.01,7.1, 
[37],inlet_flow4,18.96489585880333,22.87,15.66,33.71,0.96,35.27,26.01,18.61,39.58,0.0,41.52,3.1400000000000006, 
[38],inlet_flow4,1.639790006892038,18.36,5.06,19.98,-0.25,20.55,19.57,5.3,21.16,0.0,21.45,1.2100000000000009, 
[40],inlet_flow4,97.51992834889192,18.69,8.9,19.98,-0.13,36.9,26.76,13.12,26.76,0.0,48.16,8.07, 
[46],inlet_flow4,233.68127170385034,11.08,0.56,11.02,10.52,15.95,26.34,0.37,26.37,22.17,26.67,15.26, 
[49],inlet_flow4,26.00546737334332,8.52,14.27,-0.07,-1.21,40.96,10.09,17.81,0.0,0.0,56.38,1.5700000000000003, 
[50],inlet_flow4,56.72893594892723,9.26,6.74,12.19,-1.08,25.77,12.41,10.21,15.1,0.0,29.42,3.1500000000000004, 
[52],inlet_flow4,5.653195201353517,12.29,11.2,10.25,-4.74,27.98,13.85,10.87,9.99,0.0,28.83,1.5600000000000005, 
[54],inlet_flow4,2.7550228809806825,4.04,5.52,-0.04,-0.48,19.47,3.54,5.22,0.0,0.0,30.71,0.5, 
[56],inlet_flow4,28.723168755752297,2.82,2.73,3.86,-0.4,9.37,6.44,6.47,6.41,0.0,18.31,3.6200000000000006, 
[57],inlet_flow4,16.737393019948538,16.37,12.59,21.28,-0.77,40.1,17.87,15.27,20.76,0.0,50.27,1.5, 
[58],inlet_flow4,2598.5279895717426,22.76,45.76,10.92,-5.8,237.37,0.14,0.13,0.14,0.0,0.63,22.62, 
[60],inlet_flow4,0.7992259635755157,1.94,4.42,-0.16,-0.48,24.98,1.81,4.08,0.0,0.0,14.33,0.1299999999999999, 
[61],inlet_flow4,0.37272126056229177,-0.6,0.09,-0.6,-1.67,-0.38,0.0,0.0,0.0,0.0,0.0,0.6, 
[62],inlet_flow4,1.1439524237018264,12.54,5.05,14.61,-0.17,17.43,11.68,4.7,13.55,0.0,14.27,0.8599999999999994, 
[65],inlet_flow4,1.241785426471162,6.45,11.31,0.46,-0.52,35.15,6.24,11.39,0.0,0.0,34.06,0.20999999999999996, 
[63],inlet_flow4,1.5026543093991116,12.22,3.88,13.48,-0.03,15.41,13.32,4.3,14.79,0.0,14.9,1.0999999999999996, 
[2],inlet_flow4,9.466264803754857,20.47,8.24,24.22,-0.33,31.3,20.29,9.57,24.99,0.0,31.91,0.17999999999999972, 
[23],inlet_flow4,9.037736944093346,5.44,6.34,6.22,-1.75,17.88,7.86,7.28,9.55,0.0,24.18,2.42, 
[70],inlet_flow4,44.733259101601085,24.44,6.45,25.29,-0.5,34.49,18.35,6.19,16.54,0.0,28.9,6.09, 
[71],inlet_flow4,43.82987352055851,3.32,3.99,-0.07,-1.16,13.42,7.74,8.52,0.0,0.0,18.17,4.42, 
[104],inlet_flow4,48.98044727579564,11.07,8.61,14.52,-0.08,22.05,16.04,12.97,20.69,0.0,33.18,4.969999999999999, 
[74],inlet_flow4,2.05080334827778,9.94,6.72,14.35,-0.35,15.35,9.11,5.93,12.82,0.0,14.11,0.8300000000000001, 
[77],inlet_flow4,15.325049764535969,8.7,7.51,9.3,-0.58,18.3,9.46,9.52,9.06,0.0,25.95,0.7600000000000016, 
[78],inlet_flow4,1.8809029593046522,10.14,6.28,12.74,-1.38,21.09,9.94,6.54,11.64,0.0,23.28,0.20000000000000107, 
[80],inlet_flow4,0.3304650186236292,8.91,14.93,-0.34,-0.35,34.56,9.15,14.84,0.0,0.0,34.28,0.2400000000000002, 
