work,test_well_id,accuracy,true,pred,other
kill_main_method1,[5],1.0,1.0,1.0,
kill_main_method1,[6],1.0,1.0,1.0,
kill_main_method1,[4],1.0,1.0,1.0,
kill_main_method1,[9],0.0,4.0,1.0,
kill_main_method1,[11],0.0,6.0,1.0,
kill_main_method1,[16],0.0,7.0,14.0,
kill_main_method1,[18],0.0,2.0,13.0,
kill_main_method1,[19],0.13159203980099501,2.0,3.0,
kill_main_method1,[21],0.0,2.0,9.0,
kill_main_method1,[27],0.6674595623215985,5.0,5.0,
kill_main_method1,[28],1.0,1.0,1.0,
kill_main_method1,[7],1.0,1.0,1.0,
kill_main_method1,[8],1.0,1.0,1.0,
kill_main_method1,[13],1.0,1.0,1.0,
kill_main_method1,[14],1.0,1.0,1.0,
kill_main_method1,[17],0.049326214085939485,1.0,11.0,
kill_main_method1,[32],1.0,1.0,1.0,
kill_main_method1,[33],1.0,1.0,1.0,
kill_main_method1,[36],0.0,3.0,2.0,
kill_main_method1,[37],1.0,1.0,1.0,
kill_main_method1,[38],1.0,1.0,1.0,
kill_main_method1,[40],0.0,8.0,5.0,
kill_main_method1,[46],0.0,10.0,5.0,
kill_main_method1,[49],1.0,1.0,1.0,
kill_main_method1,[50],0.0,3.0,5.0,
kill_main_method1,[52],0.0,9.0,4.0,
kill_main_method1,[54],0.0,11.0,10.0,
kill_main_method1,[55],0.0,10.0,9.0,
kill_main_method1,[56],1.0,1.0,1.0,
kill_main_method1,[57],1.0,1.0,1.0,
kill_main_method1,[58],1.0,8.0,8.0,
kill_main_method1,[60],0.0,13.0,11.0,
kill_main_method1,[61],0.0,14.0,1.0,
kill_main_method1,[62],0.0,1.0,6.0,
kill_main_method1,[65],1.0,1.0,1.0,
kill_main_method1,[63],0.0,5.0,11.0,
kill_main_method1,[2],1.0,1.0,1.0,
kill_main_method1,[23],1.0,5.0,5.0,
kill_main_method1,[70],1.0,1.0,1.0,
kill_main_method1,[71],1.0,1.0,1.0,
kill_main_method1,[104],1.0,1.0,1.0,
kill_main_method1,[74],1.0,15.0,15.0,
kill_main_method1,[77],0.0,13.0,2.0,
kill_main_method1,[78],0.0,7.0,1.0,
kill_main_method1,[80],1.0,1.0,1.0,
kill_main_method1,[84],0.0,5.0,3.0,
kill_main_method1,[85],1.0,1.0,1.0,
kill_main_method1,[86],1.0,1.0,1.0,
kill_main_method1,[90],1.0,15.0,15.0,
kill_main_method1,[95],1.0,1.0,1.0,
kill_main_method1,[97],1.0,1.0,1.0,
kill_main_method1,[99],0.0,9.0,1.0,
kill_main_method1,[100],0.0,9.0,1.0,
kill_main_method1,[101],1.0,1.0,1.0,
kill_main_method1,[105],1.0,1.0,1.0,
kill_main_method1,[107],1.0,1.0,1.0,
kill_main_method1,[108],1.0,15.0,15.0,
kill_main_method1,[110],0.0,7.0,1.0,
kill_main_method1,[112],1.0,1.0,1.0,
kill_main_method1,[75],0.0,14.0,9.0,
kill_main_method1,[111],1.0,1.0,1.0,
kill_main_method1,[94],1.0,15.0,15.0,
